INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,DTXCID,CASRN,IUPAC_NAME,QSAR_READY_SMILES,BIOCONCENTRATION_FACTOR_TEST_PRED,BOILING_POINT_DEGC_TEST_PRED,48HR_DAPHNIA_LC50_MOL/L_TEST_PRED,DENSITY_G/CM^3_TEST_PRED,DEVTOX_TEST_PRED,96HR_FATHEAD_MINNOW_MOL/L_TEST_PRED,FLASH_POINT_DEGC_TEST_PRED,MELTING_POINT_DEGC_TEST_PRED,AMES_MUTAGENICITY_TEST_PRED,ORAL_RAT_LD50_MOL/KG_TEST_PRED,SURFACE_TENSION_DYN/CM_TEST_PRED,THERMAL_CONDUCTIVITY_MW/(M*K)_TEST_PRED,TETRAHYMENA_PYRIFORMIS_IGC50_MOL/L_TEST_PRED,VISCOSITY_CP_CP_TEST_PRED,VAPOR_PRESSURE_MMHG_TEST_PRED,WATER_SOLUBILITY_MOL/L_TEST_PRED
BCYNGTTVQNJTCV-MDXCLUIBSA-N,InChIKey,DTXSID50331755,Alangiside,DTXCID00282849,34482-51-4,"(11S,12R,12aS,13aR)-12-Ethenyl-2-hydroxy-3-methoxy-8-oxo-5,11,12,12a,13,13a-hexahydro-6H,8H-pyrano[4',3':4,5]pyrido[2,1-a]isoquinolin-11-yl beta-D-glucopyranoside",COC1=C(O)C=C2C3CC4C(C=C)C(OC5OC(CO)C(O)C(O)C5O)OC=C4C(=O)N3CCC2=C1,5.21195,578.323,4.26E-05,1.63,0.66,7.38E-06,367.536,228.999,0.493,0.00107647,-,-,-,-,5.86E-15,0.0061235
DTGZHCFJNDAHEN-OZEXIGSWSA-N,InChIKey,DTXSID501016520,Cephaeline,DTXCID401474711,483-17-0,"7',10,11-Trimethoxyemetan-6'-ol",CCC1CN2CCC3=C(C=C(OC)C(OC)=C3)C2CC1CC1NCCC2=C1C=C(OC)C(O)=C2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AVJZNOIWPGXYKM-LXFCCGDJSA-N,InChIKey,DTXSID10949173,"10,11-Dimethoxytubulosan",DTXCID401377373,2632-30-6,"10,11-Dimethoxytubulosan",CCC1CN2CCC3=CC(OC)=C(OC)C=C3C2CC1CC1NCCC2=C1NC1=CC=CC=C21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DTGZHCFJNDAHEN-IAUHIMIASA-N,InChIKey,DTXSID20207559,"Emetan-6'-ol, 7',10,11-trimethoxy-, (1'beta)-",DTXCID20130050,5884-45-7,"7',10,11-Trimethoxy-1'beta-emetan-6'-ol",CCC1CN2CCC3=C(C=C(OC)C(OC)=C3)C2CC1CC1NCCC2=C1C=C(OC)C(O)=C2,57.2796,501.59,1.21E-06,1.179,0.912,4.44E-07,290.296,133.818,0.421,0.0035156,-,-,-,-,2.74E-11,7.91E-05
JRVWIILYWSBUMC-CMWZJFIZSA-N,InChIKey,DTXSID00971483,"10,11-Dimethoxytubulosan-8'-ol",DTXCID701398996,5610-39-9,"10,11-Dimethoxy-1'beta-tubulosan-8'-ol",CCC1CN2CCC3=CC(OC)=C(OC)C=C3C2CC1CC1NCCC2=C1NC1=C2C=C(O)C=C1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VGVMWYKSFWBRKQ-BPCBYJRWSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BBVFHYCHEWCGBH-ZQIUZPCESA-N,InChIKey,DTXSID30332083,Protoemetine,DTXCID80283177,549-91-7,"[(2R,3R,11bS)-3-Ethyl-9,10-dimethoxy-1,3,4,6,7,11b-hexahydro-2H-pyrido[2,1-a]isoquinolin-2-yl]acetaldehyde",CCC1CN2CCC3=C(C=C(OC)C(OC)=C3)C2CC1CC=O,-,375.76,1.63E-05,1.101,0.796,3.62E-06,206.565,110.702,0.322,-,-,147.178,1.13E-05,-,1.59E-07,0.000414954
HZYOXXWBFOLHRJ-ZQIUZPCESA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NCALAYAMQHIWMN-REIDKSKDSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YTPRLBGPGZHUPD-UHFFFAOYSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
